0xE000	alpha_curly		α
0xE001	alpha_iota		αι
0xE002	alpha_iota_psili		αἰ
0xE003	alpha_iota_oxia		αί
0xE004	alpha_iota_psili_oxia		αἴ
0xE005	alpha_iota_perispomeni		αῖ
0xE006	alpha_sigma_tau		αστ
0xE007	alpha_psili_sigma_tau		ἀστ
0xE008	alpha_nu		αν
0xE010	beta_curly		β
0xE020	gamma_short		γ
0xE021	gamma_tall		γ
0xE022	gamma_alpha_varia_rho_1		γὰρ
0xE023	gamma_alpha_varia_rho_2		γὰρ
0xE024	gamma_epsilon_nu_oxia		γέν
0xE025	gamma_gamma		γγ
0xE026	gamma_omicron		γο
0xE027	gamma_rho		γρ
0xE028	gamma_alpha_varia_rho_3		γὰρ
0xE029	gamma_alpha_varia_rho_4		γὰρ
0xE02A	gamma_alpha_varia_rho_5		γὰρ
0xE030	delta_curly		δ
0xE031	delta_epsilon_varia_1		δε
0xE032	delta_epsilon_varia_2		δὲ
0xE033	delta_epsilon		δὲ
0xE042	epsilon_iota_1		ει
0xE043	epsilon_iota_1_perispomeni		εῖ
0xE044	epsilon_iota_2		ει
0xE045	epsion_iota_2_perispomeni		εῖ
0xE046	epsilon_upsilon		ευ
0xE047	epsilon_psili_nu		ἐν
0xE048	epsilon_psili_chi		ἐξ
0xE049	epsilon_rho_1		ερ
0xE04A	epsilon_rho_2		ερ
0xE04B	epsilon_iota_1_perispomeni_prosgegrammeni		εῖ
0xE04C	epsilon_psili_stigma_iota_varia		ἐστὶ
0xE04D	epsilon_psili_stigma_iota		ἐστι
0xE04E	epsilon_stigma_iota		εστι
0xE050	zeta_1		ζ
0xE051	zeta_2		ζ
0xE060	eta_1		η
0xE061	eta_1_perispomeni		ῆ
0xE062	eta_nu		ην
0xE063	eta_nu_oxia		ήν
0xE064	eta_nu_varia		ὴν
0xE065	eta_nu_perispomeni		ῆν
0xE070	theta_1		θ
0xE071	phi_iota_oxia		φί
0xE072	phi_iota		φι
0xE090	kappa_alpha_iota_1_varia		καὶ
0xE091	kappa_alpha_iota_2_varia		καὶ
0xE092	kappa_alpha_iota_3_varia		καὶ
0xE093	kappa_alpha_iota_4_varia		καὶ
0xE094	kappa_alpha_tau_alpha		κατα
0xE0A0	lambda_lambda		λλ
0xE0B0	mu_epsilon_nu_1		μεν
0xE0B1	mu_epsilon_nu_1_oxia		μέν
0xE0B2	mu_epsilon_nu_2		μεν
0xE0B3	mu_epsilon_nu_3		μεν
0xE0B4	mu_epsilon_nu_3_varia		μὲν
0xE0B5	mu_epsilon_nu_4_varia		μὲν
0xE0C0	nu_final		ν
0xE0D0	xi_1		ξ
0xE0E1	omicron_upsilon		ου
0xE0E2	omicron_upsilon_oxia		οὺ
0xE0E3	omicron_upsilon_persipomeni		οῦ
0xE0E4	omicron_sigma		οσ
0xE0F0	pi_1		π
0xE0F1	pi_alpha_rho		παρ
0xE0F2	pi_epsilon_rho		περ
0xE0F3	pi_omicron		πο
0xE0F4	pi_omicron_varia		πὸ
0xE0F5	pi_rho		πρ
0xE0F6	pi_tau		πτ
0xE0F7	Pi_1		Π
0x03C2	finalsigma-grek	ς	σ
0xE110	sigma_1		σ
0xE111	sigma_theta		σθ
0xE112	sigma_sigma		σσ
0xE113	sigma_tau		στ
0xE114	sigma_tau_rho		στρ
0xE115	sigma_chi		σχ
0xE116	sigma_theta_alpha_iota		σθαι
0xE117	sigma_pi		σπ
0xE120	tau_tall		τ
0xE121	tau_alpha_iota		ται
0xE122	tau_eta_nu_varia_1		τὴν
0xE123	tau_eta_nu_varia_2		τὴν
0xE124	tau_eta_perispomeni_sigma_1		τῆς
0xE125	tau_eta_perispomeni_sigma_2		τῆς
0xE126	tau_iota		τι
0xE127	tau_omicron_1		το
0xE128	tau_omicron_1_varia		τὸ
0xE129	tau_omicron_2_varia		τὸ
0xE12A	tau_omicron_3_varia		τὸ
0xE12B	tau_omicron_varia_nu		τὸν
0xE12C	tau_omicron_upsilon_perispomeni		τοῦ
0xE12D	tau_rho		τρ
0xE12E	tau_omicron_nu_perispomeni		τοῦ
0xE12F	tau_omicron_4_varia		τὸ
0xE130	tau_omega_perispomeni_prosgegrammeni		τῷ
0xE131	tau_omega_perispomeni_nu_1		τῶν
0xE132	tau_omega_perispomeni_nu_2		τῶν
0xE133	tau_psili		τ᾽
0xE134	tau_epsilon		τε
0xE135	tau_omega_sigma		τρ
0xE136	tau_tall_omega_sigma		τοσ
0xE137	tau_tau_tall		ττ
0xE140	upsilon_dasia_iota		υἱ
0xE141	upsilon_nu		υν
0xE142	upsilon_oxia_nu		ύν
0xE143	upsilon_perispomeni_nu		ῦν
0xE144	upsilon_perispomeni		ῦ
0xE145	upsilon_psili_perispomeni_nu		ὖν
0xE160	chi_rho		χρ
0xE170	slant_1		-
0xE171	slant_2		-
0x02BC	apostrophe_1	ʼ	'
0x0357	apostrophe_2	͗	'
0xE172	omega_perispomeni_nu		ῶν
