BookAbbr,PrefixMarkdown,BookNumber,BookNumberMarkdown,BookName,BookMarkdown,TotalChapters,TotalVerses
Mat,_book_,40,_,Matthew,_book_40_Matthew,28,
Mar,_book_,41,_,Mark,_book_41_Mark,16,
Luk,_book_,42,_,Luke,_book_42_Luke,24,
Joh,_book_,43,_,John,_book_43_John,21,
Act,_book_,44,_,Acts,_book_44_Acts,28,
Rom,_book_,45,_,Romans,_book_45_Romans,16,
1Co,_book_,46,_,1 Corinthians,_book_46_1 Corinthians,16,
2Co,_book_,47,_,2 Corinthians,_book_47_2 Corinthians,13,
Gal,_book_,48,_,Galatians,_book_48_Galatians,6,
Eph,_book_,49,_,Ephesians,_book_49_Ephesians,6,
Php,_book_,50,_,Philippians,_book_50_Philippians,4,
Col,_book_,51,_,Colossians,_book_51_Colossians,4,
1Th,_book_,52,_,1 Thessalonians,_book_52_1 Thessalonians,5,
2Th,_book_,53,_,2 Thessalonians,_book_53_2 Thessalonians,3,
1Ti,_book_,54,_,1 Timothy,_book_54_1 Timothy,6,
2Ti,_book_,55,_,2 Timothy,_book_55_2 Timothy,4,
Tit,_book_,56,_,Titus,_book_56_Titus,3,
Phm,_book_,57,_,Philemon,_book_57_Philemon,1,
Heb,_book_,58,_,Hebrews,_book_58_Hebrews,13,
Jas,_book_,59,_,James,_book_59_James,5,
1Pe,_book_,60,_,1 Peter,_book_60_1 Peter,5,
2Pe,_book_,61,_,2 Peter,_book_61_2 Peter,3,
1Jn,_book_,62,_,1 John,_book_62_1 John,5,
2Jn,_book_,63,_,2 John,_book_63_2 John,1,
3Jn,_book_,64,_,3 John,_book_64_3 John,1,
Jud,_book_,65,_,Jude,_book_65_Jude,1,
Rev,_book_,66,_,Revelation,_book_66_Revelation,22,
