ά,α
έ,ε
ή,η
ί,ι
ό,ο
ύ,υ
ώ,ω
ϊ,ι
ϋ,υ
ΰ,υ
ἀ,α
ἁ,α
ἂ,α
ἃ,α
ἄ,α
ἅ,α
ἆ,α
ἇ,α
ὰ,α
ά,α
ά,α
ᾀ,α
ᾁ,α
ᾂ,α
ᾃ,α
ᾄ,α
ᾅ,α
ᾆ,α
ᾇ,α
ᾰ,α
ᾱ,α
ᾲ,α
ᾳ,α
ᾴ,α
ᾶ,α
ᾷ,α
ἐ,ε
ἑ,ε
ἒ,ε
ἓ,ε
ἔ,ε
ἕ,ε
ὲ,ε
έ,ε
἖,ε
,ε
,ε
ἠ,η
ἡ,η
ἢ,η
ἣ,η
ἤ,η
ἥ,η
ἦ,η
ἧ,η
ὴ,η
ή,η
ᾐ,η
ᾑ,η
ᾒ,η
ᾓ,η
ᾔ,η
ᾕ,η
ᾖ,η
ᾗ,η
ῇ,η
ῆ,η
ῂ,η
ῃ,η
ῄ,η
ἰ,ι
ἱ,ι
ἲ,ι
ἳ,ι
ἴ,ι
ἵ,ι
ἶ,ι
ἷ,ι
ὶ,ι
ί,ι
ῐ,ι
ῑ,ι
ῒ,ι
ΐ,ι
ΐ,ι
ῖ,ι
ῗ,ι
ὀ,ο
ὁ,ο
ὂ,ο
ὃ,ο
ὄ,ο
ὅ,ο
ὸ,ο
ό,ο
,ο
,ο
,ο
,ο
ὐ,υ
ὑ,υ
ὒ,υ
ὓ,υ
ὔ,υ
ὕ,υ
ὖ,υ
ὗ,υ
ὺ,υ
ὺ,υ
ύ,υ
ῠ,υ
ῡ,υ
ῢ,υ
ΰ,υ
ῦ,υ
ῧ,υ
ῢ,υ
ΰ,υ
ῤ,ρ
ῥ,ρ
ώ,ω
ὼ,ω
ὠ,ω
ὡ,ω
ὢ,ω
ὣ,ω
ὤ,ω
ὥ,ω
ὦ,ω
ὧ,ω
ᾠ,ω
ᾡ,ω
ᾢ,ω
ᾣ,ω
ᾤ,ω
ᾥ,ω
ᾦ,ω
ᾧ,ω
ῲ,ω
ῳ,ω
ῴ,ω
ῶ,ω
ῷ,ω
Ϊ,Ι
Ϋ,Υ
Ἀ,Α
Ἁ,Α
Ἂ,Α
Ἃ,Α
Ἄ,Α
Ἅ,Α
Ἆ,Α
Ἇ,Α
ᾈ,Α
ᾉ,Α
ᾊ,Α
ᾋ,Α
ᾌ,Α
ᾍ,Α
ᾎ,Α
ᾏ,Α
Ἐ,Ε
Ἑ,Ε
Ἒ,Ε
Ἓ,Ε
Ἔ,Ε
Ἕ,Ε
Ὲ,Ε
Έ,Ε
Ἠ,Η
Ἡ,Η
Ἢ,Η
Ἣ,Η
Ἤ,Η
Ἥ,Η
Ἦ,Η
Ἧ,Η
ᾘ,Η
ᾙ,Η
ᾚ,Η
ᾛ,Η
ᾜ,Η
ᾝ,Η
Ἰ,Ι
Ἱ,Ι
Ἲ,Ι
Ἳ,Ι
Ἴ,Ι
Ἵ,Ι
Ἶ,Ι
Ἷ,Ι
Ῐ,Ι
Ῑ,Ι
Ὶ,Ι
Ί,Ι
Ὀ,Ο
Ὁ,Ο
Ὂ,Ο
Ὃ,Ο
Ὄ,Ο
Ὅ,Ο
Ὠ,Ω
Ὡ,Ω
Ὢ,Ω
Ὣ,Ω
Ὤ,Ω
Ὥ,Ω
Ὦ,Ω
Ὧ,Ω
ᾨ,Ω
ᾩ,Ω
ᾪ,Ω
ᾫ,Ω
ᾬ,Ω
ᾭ,Ω
ᾮ,Ω
ᾯ,Ω
Ὼ,Ω
Ώ,Ω
ῼ,Ω
Ὑ,Υ
Ὓ,Υ
Ὕ,Υ
Ὗ,Υ
Ῥ,Ρ
τ᾽,τ
